jid,statecode,year_end,variable,value
0,AK,2015,all_children,186000
1,AL,2015,all_children,1107000
2,AR,2015,all_children,707000
3,AZ,2015,all_children,1621000
4,CA,2015,all_children,9127000
5,CO,2015,all_children,1252000
6,CT,2015,all_children,768000
7,DC,2015,all_children,116000
8,DE,2015,all_children,204000
9,FL,2015,all_children,4077000
10,GA,2015,all_children,2496000
11,HI,2015,all_children,310000
12,IA,2015,all_children,725000
13,ID,2015,all_children,431000
14,IL,2015,all_children,2968000
15,IN,2015,all_children,1580000
16,KS,2015,all_children,721000
17,KY,2015,all_children,1012000
18,LA,2015,all_children,1115000
19,MA,2015,all_children,1386000
20,MD,2015,all_children,1347000
21,ME,2015,all_children,256000
22,MI,2015,all_children,2212000
23,MN,2015,all_children,1278000
24,MO,2015,all_children,1390000
25,MS,2015,all_children,731000
26,MT,2015,all_children,225000
27,NC,2015,all_children,2288000
28,ND,2015,all_children,170000
29,NE,2015,all_children,469000
30,NH,2015,all_children,266000
31,NJ,2015,all_children,2004000
32,NM,2015,all_children,498000
33,NV,2015,all_children,665000
34,NY,2015,all_children,4211000
35,OH,2015,all_children,2629000
36,OK,2015,all_children,955000
37,OR,2015,all_children,860000
38,PA,2015,all_children,2688000
39,RI,2015,all_children,211000
40,SC,2015,all_children,1085000
41,SD,2015,all_children,210000
42,TN,2015,all_children,1493000
43,TX,2015,all_children,7156000
44,US,2015,all_children,73517000
45,UT,2015,all_children,908000
46,VA,2015,all_children,1869000
47,VT,2015,all_children,120000
48,WA,2015,all_children,1606000
49,WI,2015,all_children,1292000
50,WV,2015,all_children,381000
51,WY,2015,all_children,138000
52,AK,2016,all_children,187000
53,AL,2016,all_children,1103000
54,AR,2016,all_children,706000
55,AZ,2016,all_children,1624000
56,CA,2016,all_children,9098000
57,CO,2016,all_children,1259000
58,CT,2016,all_children,755000
59,DC,2016,all_children,119000
60,DE,2016,all_children,204000
61,FL,2016,all_children,4122000
62,GA,2016,all_children,2507000
63,HI,2016,all_children,309000
64,IA,2016,all_children,724000
